date,open,high,low,close,volume,amount,outstanding_share,turnover,factor_momentum_5d,factor_momentum_20d,factor_momentum_60d,factor_reversal_1d,factor_reversal_5d,factor_volatility_20d,factor_volatility_60d,factor_rsi_14d,factor_rsi_30d,factor_ma_ratio_20d,factor_ma_ratio_60d,factor_volume_ratio_20d,factor_price_volume_corr_20d,factor_price_position_20d,factor_amplitude_1d,factor_amplitude_20d,factor_gap_up,factor_gap_down,factor_macd
2024-12-06,15.2,15.51,15.19,15.46,137873276.0,2155290558.0,20556293036.0,0.006707107928386899,-0.0006464124111182912,-0.08194774346793343,,-0.013106159895150737,0.0006464124111182912,0.27058635786216345,,49.63235294117648,37.78135048231511,-0.006426735218508894,,-0.17043607378247716,0.1719606003137206,0.2649006622516559,0.020698576972833133,0.025403754151413983,0.0,-0.003931847968545288,-0.30395352585558655
2024-12-09,15.51,15.82,15.44,15.65,138620472.0,2208532969.0,20557035536.0,0.006743213132907434,0.020208604954367715,-0.03810694529809455,,-0.012289780077619605,-0.020208604954367715,0.25231791665747894,,43.15352697095435,39.811912225705335,0.007791873269366922,,-0.11138102163601704,0.3849891145892303,0.5130434782608693,0.02428115015974446,0.024405150319511834,0.0032341526520049957,0.0,-0.269707101270825
2024-12-10,16.14,16.31,15.77,15.83,191717269.0,3111739802.0,20557035536.0,0.00932611458808153,0.028589993502274202,0.005079365079365017,,-0.011501597444089517,-0.028589993502274202,0.22960127875485348,,50.62240663900413,41.28440366972477,0.01912058198673794,,0.26713586576436055,0.39790532262538497,0.6160000000000005,0.034112444725205256,0.024079026524026062,0.03130990415335466,0.0,-0.22566776410192801
2024-12-11,15.93,16.14,15.83,15.89,146859489.0,2374455019.0,20557035536.0,0.007144001319782512,0.02055234425176633,0.007609384908053407,,-0.0037902716361339905,-0.02055234425176633,0.22990890156110202,,49.14529914529916,42.39631336405531,0.02258832614711359,,-0.030265432032803186,0.41957495350748647,0.664000000000001,0.019509125235997512,0.024198426983669946,0.006317119393556503,0.0,-0.18387737977436558
2024-12-12,15.89,16.05,15.86,16.01,100504477.0,1628318303.0,20557035536.0,0.004889054981881703,0.04914809960681521,0.04028589993502285,,-0.007551919446192601,-0.04914809960681521,0.2117717577250506,,61.65048543689325,45.497630331753584,0.028259473346178732,,-0.3150466355553898,0.5485369215547256,0.7600000000000019,0.011867582760774594,0.023654704107413677,0.0,0.0,-0.13959869954048543
2024-12-13,15.77,15.77,15.35,15.35,199811168.0,3143512082.0,20557035536.0,0.009719843488623913,-0.007115135834411479,-0.0032467532467532756,,0.0412242348532168,0.007115135834411479,0.261740890394447,,50.3968253968254,37.44292237442922,-0.013971414806488003,,0.3555289456623234,-0.02557602970655095,0.23199999999999965,0.027361563517915306,0.023172132932660093,0.0,-0.014990630855715281,-0.15531242679524304
2024-12-16,15.35,15.41,15.09,15.13,128353468.0,1977871986.0,20557035536.0,0.006243773221835618,-0.03322683706070284,-0.022609819121446995,,0.01433224755700313,0.03322683706070284,0.2657162120877191,,46.52014652014654,35.27653213751867,-0.027009646302250778,,-0.11491524915844276,0.028933292549787337,0.056000000000000306,0.021150033046926652,0.022969944662525804,0.0,0.0,-0.18319545257823222
2024-12-17,15.13,15.37,15.05,15.23,119682220.0,1851932604.0,20557035536.0,0.0058219590947541765,-0.03790271636133924,-0.046933667083854824,,-0.006609385327164485,0.03790271636133924,0.23711223795935354,,45.92592592592595,32.76397515527951,-0.018211120064464015,,-0.1327211729428841,-0.13046919573636634,0.14285714285714285,0.021011162179907977,0.022706360093173263,0.0,0.0,-0.19505457018017403
2024-12-18,15.18,15.41,15.18,15.27,75347659.0,1169485235.0,20557035536.0,0.003665297891228007,-0.03901825047199503,-0.03354430379746842,,-0.0026263952724885353,0.03901825047199503,0.2352614435397063,,49.23076923076921,35.30377668308702,-0.01394808213870602,,-0.43963666209318264,-0.19481486455292335,0.17460317460317398,0.015062213490504284,0.022320230261369367,0.0,-0.0032829940906107247,-0.1989589207832143
2024-12-19,14.99,15.19,14.83,15.1,92554681.0,1414586144.0,20557035536.0,0.004502335992848575,-0.05683947532792022,-0.05210295040803514,,0.01113294040602486,0.05683947532792022,0.23457245204890112,,42.91187739463601,35.59602649006622,-0.02230567515944193,-0.0741781542832034,-0.3005292383836826,-0.20329481411190373,0.18243243243243232,0.02384105960264897,0.02269621293390608,0.0,-0.018336607727570398,-0.2131836131487539
2024-12-20,15.06,15.11,14.8,14.8,140062667.0,2117319776.0,20557035536.0,0.006813368919595372,-0.03583061889250805,-0.0470057952350289,-0.054313099041533475,0.01986754966887405,0.03583061889250805,0.22855130879745808,0.3231945862328632,40.28776978417268,33.91167192429023,-0.0394600207684318,-0.09178309161944886,0.052612139650237255,-0.3099986533308351,0.0,0.020945945945945857,0.022326897224120307,0.0,-0.0026490066225165476,-0.24562248272944842
2024-12-23,14.94,15.37,14.87,15.29,188440900.0,2903979102.0,20557035536.0,0.009166735138925918,0.010575016523463265,-0.002609262883235597,-0.019243104554201418,-0.033108108108107936,-0.010575016523463265,0.25687238576778954,0.3304628990879647,48.44720496894408,42.172523961661334,-0.007529533947812639,-0.06142576526436405,0.38057630580014745,-0.1990122604121592,0.3245033112582775,0.032701111837802485,0.02213546879774559,0.009459459459459474,0.0,-0.22945130369834565
2024-12-24,15.27,15.43,15.07,15.41,116741937.0,1811782586.0,20557035536.0,0.00567892859821926,0.011818778726198298,0.005874673629242766,-0.05285802089735703,-0.007848266841072649,-0.011818778726198298,0.258356411310839,0.3181479467284128,47.46835443037975,47.09897610921501,-3.244541059654882e-05,-0.05322656617993404,-0.1525631405016501,-0.22611674052104963,0.403973509933775,0.02336145360155739,0.02232442920628299,0.0,-0.001308044473512071,-0.20466207270914083
2024-12-25,15.41,15.44,15.12,15.3,87854107.0,1359933126.0,20557035536.0,0.004273675883185962,0.0019646365422396617,-0.009708737864077555,-0.08273381294964022,0.007138221933809197,-0.0019646365422396617,0.2578387758049226,0.3137735886279071,50.67567567567569,46.050420168067234,-0.00668700902421604,-0.05865463494667755,-0.3570510033468175,-0.21530197452915828,0.33112582781456995,0.020915032679738578,0.022269857215674455,0.0,0.0,-0.19162300849408176
2024-12-26,15.31,15.5,15.24,15.4,87509255.0,1366286291.0,20557035536.0,0.004256900507213289,0.019867549668874274,0.005878510777269641,-0.10046728971962615,-0.006535947712418277,-0.019867549668874274,0.2568008037649896,0.30890956466791236,48.95104895104894,50.08818342151675,-0.00048677592081791676,-0.050827957431072046,-0.3596568894886836,-0.2427367773507744,0.39735099337748375,0.016883116883116868,0.022297553229653943,0.0006535947712418277,0.0,-0.17129479059254749
2024-12-27,15.41,15.46,15.05,15.08,123641600.0,1903734256.0,20557035536.0,0.00601456371389132,0.018918918918918948,-0.025210084033613467,-0.1263035921205099,0.020779220779220786,-0.018918918918918948,0.26443244454100345,0.310699461276615,40.468227424749166,47.32441471571906,-0.020015596568754845,-0.06846494388963242,-0.08939087519009936,-0.3635022061739271,0.18543046357615875,0.027188328912466853,0.02204093864748155,0.0006493506493505663,0.0,-0.17879492254962415
2024-12-30,15.04,15.49,15.01,15.32,152484072.0,2365457326.0,20557035536.0,0.007417609982381265,0.0019620667102682177,-0.0013037809647978849,-0.14317673378076057,-0.01591511936339529,-0.0019620667102682177,0.26961574837945124,0.30286043644772004,41.63934426229508,48.69706840390879,-0.004354325079612642,-0.05113859239837315,0.12963529808962448,-0.31966864941716117,0.34437086092715247,0.031331592689295064,0.02276006065482766,0.0,-0.0026525198938992522,-0.1635885897657161
2024-12-31,15.21,15.24,14.9,14.9,142236489.0,2172211223.0,20557035536.0,0.006919114808694661,-0.0330953926022064,-0.03183885640025996,-0.1581920903954802,0.02741514360313313,0.0330953926022064,0.28627847137633666,0.3067993505557787,35.48387096774192,41.08910891089108,-0.030105777054515892,-0.07447667556991111,0.05658991002714253,-0.27109850529062013,0.06622516556291376,0.022818791946308713,0.0227638982378481,0.0,-0.007180156657963455,-0.18314799515916924
2025-01-02,14.98,15.26,14.78,14.96,199053077.0,3037419314.0,20557035536.0,0.009682966041062351,-0.022222222222222254,-0.03917790622992934,-0.10365488316357097,-0.00402684563758382,0.022222222222222254,0.28287785873266424,0.28534409848083,34.32835820895521,42.929292929292934,-0.024262979389512274,-0.06908246128955298,0.4687091643899455,-0.2699529920226294,0.11764705882353044,0.03208556149732623,0.02340478517591287,0.005369127516778427,0.0,-0.19161831315610378
