date,Open,High,Low,Close,Volume,overall_score_mean,overall_score_sum,overall_score_count,overall_score_std,overall_score_min,overall_score_max,dominant_sentiment,direct_impact_score_mean,direct_impact_score_std,indirect_impact_score_mean,indirect_impact_score_std,certainty_mean,certainty_std,dominant_action_suggestion,combined_impact,weighted_score,price_change,next_open,future_return_1d,future_return_2d,future_return_3d,future_return_5d,price_change_next,prev_volume_change,future_volume_change_1d,future_volume_change_3d,future_volume_change_5d,daily_amplitude,overnight_gap,intraday_volatility,close_deviation,true_range,atr_5,atr_10,turnover_ratio,price_volume_sync,relative_strength,open_strength,close_strength,intraday_vs_overnight,future_amplitude_1d,future_amplitude_3d,future_amplitude_5d,future_atr_1d,future_atr_3d,future_atr_5d,future_turnover_1d,future_turnover_3d,future_turnover_5d
2024-10-15,17.22,17.23,16.85,16.85,1673263,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,-0.031052328924669248,16.8,0.022023809523809668,0.0035714285714285587,0.032738095238095344,0.057738095238095255,2.2023809523809668,-0.20281063939973887,-0.16888618226782037,0.314302055325433,0.016722416021868636,0.02255192878338273,-0.009775733179988588,0.02206736353077811,-0.011150234741783905,0.5399999999999991,0.8259999999999991,1.0389999999999993,,1.0,3.436873859404248,0.0005807200929153057,0.0,2.3069272962845013,0.030285381479324584,0.03285302593659944,0.02363534046145178,0.718,0.5960000000000001,0.6240000000000002,,,
2024-10-16,16.8,17.26,16.74,17.17,1390672,5.0,20.0,4.0,2.309,3.0,7.0,中性偏正,2.5,1.732,2.5,0.577,0.725,0.15,强烈关注,2.5,3.625,0.0189910979228487,17.2,-0.019767441860465085,0.008720930232558155,0.04302325581395361,0.021511627906976694,-1.9767441860465085,-0.16888618226782037,-0.04781717040394862,0.9540380477927217,0.14249657719433473,0.030285381479324584,-0.0029673590504450953,0.030952380952381137,0.0100000000000001,0.5200000000000031,0.718,1.0099999999999998,,-1.0,2.9605346560831625,0.02738095238095243,0.025686977299880724,10.206139163843432,0.029062870699881286,0.03790412486064658,0.027888446215139556,0.5899999999999999,0.6480000000000004,0.618,,,
2024-10-17,17.2,17.33,16.84,16.86,1324174,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,-0.018054746651135822,17.07,0.016403046280023537,0.05096660808435849,0.04100761570005851,0.008201523140011657,1.6403046280023537,-0.04781717040394862,0.6607885368539179,0.28475864954303587,0.156499825551627,0.029062870699881286,0.0017472335468839972,0.028488372093023167,-0.013169446883230986,0.48999999999999844,0.5899999999999999,0.9899999999999999,,1.0,8.05568962734791,0.007558139534883664,0.0011876484560569818,16.633554464522984,0.03285302593659944,0.02363534046145178,0.01626961069145852,0.5960000000000001,0.6240000000000002,0.6260000000000006,,,
2024-10-18,17.07,17.6,17.03,17.35,2199173,7.0,21.0,3.0,1.732,5.0,8.0,强烈正面,4.333,1.155,2.667,0.577,0.933,0.115,强烈关注,3.5,6.531000000000001,0.02906287069988145,17.8,0.00786516853932584,-0.0016853932584269815,-0.012921348314606784,-0.047752808988764106,0.786516853932584,0.6607885368539179,0.23565813148851866,-0.27752932579656076,-0.31222464080815837,0.03285302593659944,0.012455516014235002,0.03339191564147629,0.0020213687554143885,0.740000000000002,0.5960000000000001,0.986,,1.0,5.979838195761876,0.031048623315758708,0.01879036993540812,2.637626536129652,0.03790412486064658,0.027888446215139556,0.01769911504424783,0.6480000000000004,0.618,0.5480000000000004,,,
2024-10-21,17.8,18.3,17.62,17.94,2717426,6.0,6.0,1.0,0.0,6.0,6.0,正面,1.0,0.0,3.0,0.0,0.8,0.0,关注,2.0,4.800000000000001,0.03400576368876074,17.85,-0.00448179271708693,-0.015686274509803977,-0.03585434173669466,-0.05210084033613438,-0.448179271708693,0.23565813148851866,-0.3739502014038285,-0.4364494194138129,-0.5480362666729471,0.03790412486064658,0.025936599423631135,0.038202247191011215,-0.0011135857461024262,0.9499999999999993,0.6480000000000004,0.9189999999999998,,1.0,5.159783073591118,0.028089887640449437,0.018161180476731,1.4614140283930754,0.02363534046145178,0.01626961069145852,0.015957446808510613,0.6240000000000002,0.6260000000000006,0.4120000000000005,,,0.48062027971763893
2024-10-22,17.85,18.02,17.6,17.77,1701244,3.0,3.0,1.0,0.0,3.0,3.0,中性偏正,0.0,0.0,2.0,0.0,0.6,0.0,观望,1.0,1.7999999999999998,-0.009476031215161718,17.82,-0.014029180695847354,-0.034231200897867575,-0.04882154882154888,-0.04938271604938271,-1.4029180695847354,-0.3739502014038285,-0.06607282670798542,-0.11092294814853132,-0.0767508952272572,0.02363534046145178,-0.0050167224080267525,0.023529411764705778,-0.002245929253228675,0.41999999999999815,0.6240000000000002,0.7249999999999996,,1.0,-0.868898241548312,0.009523809523809419,0.009659090909090803,4.711301807454455,0.027888446215139556,0.01769911504424783,0.020070838252656424,0.618,0.5480000000000004,0.3960000000000008,,,0.6261842951000415
2024-10-23,17.82,17.89,17.4,17.57,1588838,3.5,28.0,8.0,3.665,-3.0,9.0,正面,1.75,2.252,1.75,1.488,0.688,0.173,关注,1.75,2.408,-0.011254924029262758,17.32,-0.006351039260969915,-0.021362586605080836,-0.023094688221708903,-0.02713625866050806,-0.6351039260969915,-0.06607282670798542,-0.03614654231583081,-0.22699608141295713,-0.003589415661005124,0.027888446215139556,0.002813731007315745,0.02749719416386094,-0.0042504958911872654,0.490000000000002,0.618,0.6679999999999999,,1.0,-2.3174509211274263,0.0039281705948372775,0.009770114942528834,9.911518559323483,0.01626961069145852,0.015957446808510613,0.03264094955489618,0.6260000000000006,0.4120000000000005,0.40800000000000053,,0.48062027971763893,0.6473357271127452
2024-10-24,17.32,17.32,17.04,17.21,1531407,-0.333,-1.0,3.0,4.619,-3.0,5.0,中性偏负,-0.667,2.309,0.333,2.309,0.667,0.115,观望,-0.167,-0.22211100000000003,-0.020489470688673794,17.14,-0.011085180863477317,-0.012835472578763052,-0.011668611435239118,-0.03500583430571769,-1.1085180863477317,-0.03614654231583081,-0.012322001923721126,0.025639820113137812,0.19998602592256653,0.01626961069145852,-0.014228799089356814,0.016166281755196372,0.0017462165308498915,0.5300000000000011,0.6260000000000006,0.6080000000000002,,1.0,-4.6890397992968325,0.0,0.009976525821596345,1.1434274357949064,0.01769911504424783,0.020070838252656424,0.025392986698911834,0.5480000000000004,0.3960000000000008,0.3960000000000008,,0.6261842951000415,0.7577328631349559
2024-10-25,17.14,17.16,16.86,16.95,1512537,2.333,7.0,3.0,4.619,-3.0,5.0,正面,1.667,2.309,0.667,2.309,0.8,0.173,关注,1.167,1.8664000000000003,-0.015107495642068702,16.92,0.0,0.0011820330969267712,-0.004137115839243477,0.002955082742316595,0.0,-0.012322001923721126,-0.18800135137190033,0.046675221829284075,0.6622985090612659,0.01769911504424783,-0.004067402672864651,0.01750291715285885,-0.003527336860670119,0.3500000000000014,0.5480000000000004,0.5720000000000003,,1.0,3.383976038228204,0.0011668611435238958,0.005338078291814938,4.351443157544785,0.015957446808510613,0.03264094955489618,0.05067766647024157,0.4120000000000005,0.40800000000000053,0.4980000000000004,0.48062027971763893,0.6473357271127452,1.020456510661717
2024-10-28,16.92,16.95,16.68,16.92,1228178,2.0,4.0,2.0,7.071,-3.0,7.0,中性偏负,1.0,4.243,1.0,2.828,0.8,0.141,强烈关注,1.0,1.6,-0.001769911504424626,16.99,-0.002942907592701438,-0.008240141259564293,-0.026486168334314275,0.004708652148322612,-0.2942907592701438,-0.18800135137190033,0.278863487214394,0.49625461455912734,0.22829101319189893,0.015957446808510613,-0.001769911504424626,0.015957446808510613,0.006244424620874457,0.2699999999999996,0.4120000000000005,0.5300000000000005,0.48062027971763893,1.0,0.15232177637483338,0.001773049645389928,0.014388489208633212,9.01590650693751,0.020070838252656424,0.025392986698911834,0.026362038664323333,0.3960000000000008,0.3960000000000008,0.5340000000000004,0.6261842951000415,0.7577328631349559,0.6846736154303363
